Player,Age,Team,Pos,G,MP,PTS,FG%,3P%,2P%,FT%,TRB,AST,STL,BLK
Joel Embiid,28,PHI,C,66.0,34.6,33.1,0.548,0.33,0.587,0.857,10.2,4.2,1.0,1.7
Luka Doni,23,DAL,PG,66.0,36.2,32.4,0.496,0.342,0.588,0.742,8.6,8.0,1.4,0.5
Damian Lillard,32,POR,PG,58.0,36.3,32.2,0.463,0.371,0.574,0.914,4.8,7.3,0.9,0.3
Shai GilgeousAlexander,24,OKC,PG,68.0,35.5,31.4,0.51,0.345,0.533,0.905,4.8,5.5,1.6,1.0
Giannis Antetokounmpo,28,MIL,PF,63.0,32.1,31.1,0.553,0.275,0.596,0.645,11.8,5.7,0.8,0.8
Jayson Tatum,24,BOS,SF,74.0,36.9,30.1,0.466,0.35,0.558,0.854,8.8,4.6,1.1,0.7
Stephen Curry,34,GSW,PG,56.0,34.7,29.4,0.493,0.427,0.579,0.915,6.1,6.3,0.9,0.4
Kevin Durant,34,2TM,PF,47.0,35.6,29.1,0.56,0.404,0.617,0.919,6.7,5.0,0.7,1.4
Kevin Durant,34,BRK,PF,39.0,36.0,29.7,0.559,0.376,0.622,0.934,6.7,5.3,0.8,1.5
Kevin Durant,34,PHO,PF,8.0,33.6,26.0,0.57,0.537,0.586,0.833,6.4,3.5,0.3,1.3
LeBron James,38,LAL,PF,55.0,35.5,28.9,0.5,0.321,0.58,0.768,8.3,6.8,0.9,0.6
Donovan Mitchell,26,CLE,SG,68.0,35.8,28.3,0.484,0.386,0.566,0.867,4.3,4.4,1.5,0.4
Devin Booker,26,PHO,SG,53.0,34.6,27.8,0.494,0.351,0.554,0.855,4.5,5.5,1.0,0.3
Kyrie Irving,30,2TM,SG,60.0,37.4,27.1,0.494,0.379,0.574,0.905,5.1,5.5,1.1,0.8
Kyrie Irving,30,BRK,PG,40.0,37.0,27.1,0.486,0.374,0.569,0.883,5.1,5.3,1.0,0.8
Kyrie Irving,30,DAL,SG,20.0,38.2,27.0,0.51,0.392,0.585,0.947,5.0,6.0,1.3,0.6
Jaylen Brown,26,BOS,SF,67.0,35.9,26.6,0.491,0.335,0.576,0.765,6.9,3.5,1.1,0.4
Ja Morant,23,MEM,PG,61.0,31.9,26.2,0.466,0.307,0.519,0.748,5.9,8.1,1.1,0.3
Trae Young,24,ATL,PG,73.0,34.8,26.2,0.429,0.335,0.476,0.886,3.0,10.2,1.1,0.1
Zion Williamson,22,NOP,PF,29.0,33.0,26.0,0.608,0.368,0.618,0.714,7.0,4.6,1.1,0.6
Anthony Davis,29,LAL,C,56.0,34.0,25.9,0.563,0.257,0.589,0.784,12.5,2.6,1.1,2.0
Lauri Markkanen,25,UTA,PF,66.0,34.4,25.6,0.499,0.391,0.585,0.875,8.6,1.9,0.6,0.6
Julius Randle,28,NYK,PF,77.0,35.5,25.1,0.459,0.343,0.553,0.757,10.0,4.1,0.6,0.3
DeAaron Fox,25,SAC,PG,73.0,33.4,25.0,0.512,0.324,0.584,0.78,4.2,6.1,1.1,0.3
Zach LaVine,27,CHI,SG,77.0,35.9,24.8,0.485,0.375,0.556,0.848,4.5,4.2,0.9,0.2
Brandon Ingram,25,NOP,SF,45.0,34.2,24.7,0.484,0.39,0.507,0.882,5.5,5.8,0.7,0.4
Anthony Edwards,21,MIN,SG,79.0,36.0,24.6,0.459,0.369,0.513,0.756,5.8,4.4,1.6,0.7
DeMar DeRozan,33,CHI,SF,74.0,36.2,24.5,0.504,0.324,0.526,0.872,4.6,5.1,1.1,0.5
Nikola Joki,27,DEN,C,69.0,33.7,24.5,0.632,0.383,0.675,0.822,11.8,9.8,1.3,0.7
Pascal Siakam,28,TOR,PF,71.0,37.4,24.2,0.48,0.324,0.523,0.774,7.8,5.8,0.9,0.5
Jalen Brunson,26,NYK,PG,68.0,35.0,24.0,0.491,0.416,0.519,0.829,3.5,6.2,0.9,0.2
Paul George,32,LAC,SF,56.0,34.6,23.8,0.457,0.371,0.521,0.871,6.1,5.1,1.5,0.4
Kawhi Leonard,31,LAC,SF,52.0,33.6,23.8,0.512,0.416,0.551,0.871,6.5,3.9,1.4,0.5
LaMelo Ball,21,CHO,PG,36.0,35.2,23.3,0.411,0.376,0.45,0.836,6.4,8.4,1.3,0.3
Bradley Beal,29,WAS,SG,50.0,33.5,23.2,0.506,0.365,0.552,0.842,3.9,5.4,0.9,0.7
Kristaps Porziis,27,WAS,C,65.0,32.6,23.2,0.498,0.385,0.559,0.851,8.4,2.7,0.9,1.5
Jimmy Butler,33,MIA,PF,64.0,33.4,22.9,0.539,0.35,0.564,0.85,5.9,5.3,1.8,0.3
Jalen Green,20,HOU,SG,76.0,34.2,22.1,0.416,0.338,0.471,0.786,3.7,3.7,0.8,0.2
Keldon Johnson,23,SAS,SF,63.0,32.7,22.0,0.452,0.329,0.523,0.749,5.0,2.9,0.7,0.2
Klay Thompson,32,GSW,SF,69.0,33.0,21.9,0.436,0.412,0.47,0.879,4.1,2.4,0.7,0.4
Bojan Bogdanovi,33,DET,PF,59.0,32.1,21.6,0.488,0.411,0.539,0.884,3.8,2.6,0.6,0.1
Darius Garland,23,CLE,PG,69.0,35.5,21.6,0.462,0.41,0.492,0.863,2.7,7.8,1.2,0.1
Desmond Bane,24,MEM,SG,58.0,31.7,21.5,0.479,0.408,0.534,0.883,5.0,4.4,1.0,0.4
Kyle Kuzma,27,WAS,PF,64.0,35.0,21.2,0.448,0.333,0.533,0.73,7.2,3.7,0.6,0.5
Terry Rozier,28,CHO,SG,63.0,35.3,21.1,0.415,0.327,0.48,0.809,4.1,5.1,1.2,0.3
Anfernee Simons,23,POR,SG,62.0,35.0,21.1,0.447,0.377,0.528,0.894,2.6,4.1,0.7,0.2
James Harden,33,PHI,PG,58.0,36.8,21.0,0.441,0.385,0.495,0.867,6.1,10.7,1.2,0.5
CJ McCollum,31,NOP,PG,75.0,35.3,20.9,0.437,0.389,0.469,0.769,4.4,5.7,0.9,0.5
Jordan Clarkson,30,UTA,SG,61.0,32.6,20.8,0.444,0.338,0.53,0.816,4.0,4.4,0.5,0.2
KarlAnthony Towns,27,MIN,PF,29.0,33.0,20.8,0.495,0.366,0.576,0.874,8.1,4.8,0.7,0.6
Tyrese Haliburton,22,IND,PG,56.0,33.6,20.7,0.49,0.4,0.572,0.871,3.7,10.4,1.6,0.4
Jerami Grant,28,POR,PF,63.0,35.7,20.5,0.475,0.401,0.523,0.813,4.5,2.4,0.8,0.8
Dejounte Murray,26,ATL,SG,74.0,36.4,20.5,0.464,0.344,0.514,0.832,5.3,6.1,1.5,0.3
Bam Adebayo,25,MIA,C,75.0,34.6,20.4,0.54,0.083,0.545,0.806,9.2,3.2,1.2,0.8
Jordan Poole,23,GSW,PG,82.0,30.0,20.4,0.43,0.336,0.524,0.87,2.7,4.5,0.8,0.3
Tyrese Maxey,22,PHI,SG,60.0,33.6,20.3,0.481,0.434,0.513,0.845,2.9,3.5,0.8,0.1
Kelly Oubre Jr,27,CHO,SF,48.0,32.3,20.3,0.431,0.319,0.51,0.76,5.2,1.1,1.4,0.4
Mikal Bridges,26,2TM,SG,83.0,35.7,20.1,0.468,0.382,0.514,0.895,4.4,3.3,1.1,0.7
Mikal Bridges,26,PHO,SF,56.0,36.4,17.2,0.463,0.387,0.503,0.897,4.3,3.6,1.2,0.8
Mikal Bridges,26,BRK,SG,27.0,34.2,26.1,0.475,0.376,0.531,0.894,4.5,2.7,1.0,0.6
Tyler Herro,23,MIA,SG,67.0,34.9,20.1,0.439,0.378,0.497,0.934,5.4,4.2,0.8,0.2
Paolo Banchero,20,ORL,PF,72.0,33.8,20.0,0.427,0.298,0.471,0.738,6.9,3.7,0.8,0.5
Louis King,23,PHI,PF,1.0,29.0,20.0,0.615,0.5,0.8,0.0,4.0,2.0,1.0,0.0
Jamal Murray,25,DEN,PG,65.0,32.8,20.0,0.454,0.398,0.494,0.833,4.0,6.2,1.0,0.2
Cade Cunningham,21,DET,PG,12.0,33.3,19.9,0.415,0.279,0.466,0.837,6.2,6.0,0.8,0.6
RJ Barrett,22,NYK,SG,73.0,33.9,19.6,0.434,0.31,0.495,0.74,5.0,2.8,0.4,0.2
Jrue Holiday,32,MIL,PG,67.0,32.6,19.3,0.479,0.384,0.542,0.859,5.1,7.4,1.2,0.4
Fred VanVleet,28,TOR,PG,69.0,36.7,19.3,0.393,0.342,0.455,0.898,4.1,7.2,1.8,0.6
Kevin Porter Jr,22,HOU,PG,59.0,34.3,19.2,0.442,0.366,0.501,0.784,5.3,5.7,1.4,0.3
Domantas Sabonis,26,SAC,C,79.0,34.6,19.1,0.615,0.373,0.639,0.742,12.3,7.3,0.8,0.5
Jaren Jackson Jr,23,MEM,C,63.0,28.4,18.6,0.506,0.355,0.585,0.788,6.8,1.0,1.0,3.0
Franz Wagner,21,ORL,SF,80.0,32.6,18.6,0.485,0.361,0.544,0.842,4.1,3.5,1.0,0.2
Devin Vassell,22,SAS,SG,38.0,31.0,18.5,0.439,0.387,0.48,0.78,3.9,3.6,1.1,0.4
Deandre Ayton,24,PHO,C,67.0,30.4,18.0,0.589,0.292,0.597,0.76,10.0,1.7,0.6,0.8
Myles Turner,26,IND,C,62.0,29.4,18.0,0.548,0.373,0.638,0.783,7.5,1.4,0.6,2.3
DAngelo Russell,26,2TM,PG,71.0,32.5,17.8,0.469,0.396,0.548,0.829,3.0,6.2,1.0,0.4
DAngelo Russell,26,MIN,PG,54.0,32.9,17.9,0.465,0.391,0.546,0.856,3.1,6.2,1.1,0.4
DAngelo Russell,26,LAL,PG,17.0,30.9,17.4,0.484,0.414,0.555,0.735,2.9,6.1,0.6,0.5
Nikola Vuevi,32,CHI,C,82.0,33.5,17.6,0.52,0.349,0.594,0.835,11.0,3.2,0.7,0.7
Michael Porter Jr,24,DEN,SF,62.0,29.0,17.4,0.487,0.414,0.579,0.8,5.5,1.0,0.6,0.5
Gary Trent Jr,24,TOR,SG,66.0,32.1,17.4,0.433,0.369,0.493,0.839,2.6,1.6,1.6,0.2
Spencer Dinwiddie,29,2TM,SG,79.0,34.5,17.3,0.438,0.369,0.498,0.812,3.4,6.5,0.8,0.3
Spencer Dinwiddie,29,DAL,SG,53.0,34.1,17.7,0.455,0.405,0.504,0.821,3.1,5.3,0.7,0.3
Spencer Dinwiddie,29,BRK,PG,26.0,35.3,16.5,0.404,0.289,0.488,0.797,4.1,9.1,1.1,0.3
Andrew Wiggins,27,GSW,SF,37.0,32.2,17.1,0.473,0.396,0.53,0.611,5.0,2.3,1.2,0.8
Norman Powell,29,LAC,SG,60.0,26.1,17.0,0.479,0.397,0.534,0.812,2.9,1.8,0.8,0.3
OG Anunoby,25,TOR,SF,67.0,35.6,16.8,0.476,0.387,0.539,0.838,5.0,2.0,1.9,0.7
Buddy Hield,30,IND,SF,80.0,31.0,16.8,0.458,0.425,0.518,0.822,5.0,2.8,1.2,0.3
Bennedict Mathurin,20,IND,SG,78.0,28.5,16.7,0.434,0.323,0.488,0.828,4.1,1.5,0.6,0.2
Josh Giddey,20,OKC,PF,76.0,31.1,16.6,0.482,0.325,0.524,0.731,7.9,6.2,0.8,0.4
Christian Wood,27,DAL,C,67.0,25.9,16.6,0.515,0.376,0.594,0.772,7.3,1.8,0.4,1.1
Aaron Gordon,27,DEN,PF,68.0,30.2,16.3,0.564,0.347,0.628,0.608,6.6,3.0,0.8,0.8
Jaden Ivey,20,DET,SG,74.0,31.1,16.3,0.416,0.343,0.457,0.747,3.9,5.2,0.8,0.2
